Un pato es un ave|2,1,4
Un perro es un animal|2,1,4
Un ordenador es una máquina|2,1,4
Un pájaro es un ave|2,1,4
Una patata es un tubérculo|2,1,4
Un ácaro es un animal|2,1,4
Un águila es un animal|2,1,4
Un alce es un animal|2,1,4
Una almeja es un animal|2,1,4
Una alondra es un animal|2,1,4
Una anchoa es un animal|2,1,4
Una anguila es un animal|2,1,4
Un antílope es un animal|2,1,4
Una araña es un animal|2,1,4
Un armadillo es un animal|2,1,4
Un asno es un animal|2,1,4
Un atún es un animal|2,1,4
Un avestruz es un animal|2,1,4
Una avispa es un animal|2,1,4
Una babosa es un animal|2,1,4
Un babuino es un animal|2,1,4
Un bacalao es un animal|2,1,4
Una ballena es un animal|2,1,4
Una barracuda es un animal|2,1,4
Una beluga es un animal|2,1,4
Un bengalí es un animal|2,1,4
Un besugo es un animal|2,1,4
Un bisonte es un animal|2,1,4
Una boa es un animal|2,1,4
Un bogavante es un animal|2,1,4
Un bonito es un animal|2,1,4
Un bonobo es un animal|2,1,4
Un buey es un animal|2,1,4
Un búfalo es un animal|2,1,4
Un búho es un animal|2,1,4
Un buitre es un animal|2,1,4
Un burro es un animal|2,1,4
Un caballo es un animal|2,1,4
Una cacatúa es un animal|2,1,4
Un cachalote es un animal|2,1,4
Un calamón es un animal|2,1,4
Un camaleón es un animal|2,1,4
Un camello es un animal|2,1,4
Un canguro es un animal|2,1,4
Un canario es un animal|2,1,4
Un cangrejo es un animal|2,1,4
Un caracol es un animal|2,1,4
Un castor es un animal|2,1,4
Una cebra es un animal|2,1,4
Un centollo es un animal|2,1,4
Un cerdo es un animal|2,1,4
Un chacal es un animal|2,1,4
Un chimpancé es un animal|2,1,4
Una chinchilla es un animal|2,1,4
Un ciempiés es un animal|2,1,4
Un ciervo es un animal|2,1,4
Una cigala es un animal|2,1,4
Un cisne es un animal|2,1,4
Una cobaya es un animal|2,1,4
Una cochinilla es un animal|2,1,4
Un cocodrilo es un animal|2,1,4
Un colibrí es un animal|2,1,4
Una comadreja es un animal|2,1,4
Un conejo es un animal|2,1,4
Un coral es un animal|2,1,4
Un cóndor es un animal|2,1,4
Una cotorra es un animal|2,1,4
Un coyote es un animal|2,1,4
Un damán es un animal|2,1,4
Un delfín es un animal|2,1,4
Un dromedario es un animal|2,1,4
Un elefante es un animal|2,1,4
Un emú es un animal|2,1,4
Un erizo es un animal|2,1,4
Un escarabajo es un animal|2,1,4
Un escorpión es un animal|2,1,4
Una estrella de mar es un animal|2,1,4
Un faisán es un animal|2,1,4
Un flamenco es un animal|2,1,4
Una foca es un animal|2,1,4
Una gacela es un animal|2,1,4
Un galápago es un animal|2,1,4
Una gallina es un animal|2,1,4
Un pato es un animal|2,1,4
Un gallo es un animal|2,1,4
Una gamba es un animal|2,1,4
Un ganso es un animal|2,1,4
Una garcilla es un animal|2,1,4
Una garrapata es un animal|2,1,4
Una garza es un animal|2,1,4
Un gato es un animal|2,1,4
Un gavilán es un animal|2,1,4
Un glotón es un animal|2,1,4
Una golondrina es un animal|2,1,4
Una gorila es un animal|2,1,4
Un gorgojo es un animal|2,1,4
Un gorrión es un animal|2,1,4
Un grillo es un animal|2,1,4
Una grulla es un animal|2,1,4
Un guepardo es un animal|2,1,4
Un halcón es un animal|2,1,4
Un hamster es un animal|2,1,4
Una hiena es un animal|2,1,4
Un hipocampo es un animal|2,1,4
Un hipopótamo es un animal|2,1,4
Una holoturia es un animal|2,1,4
Una hormiga es un animal|2,1,4
Un hurón es un animal|2,1,4
Un hupón es un animal|2,1,4
Una iguana es un animal|2,1,4
Un impala es un animal|2,1,4
Un jabalí es un animal|2,1,4
Un jabirú es un animal|2,1,4
Una jirafa es un animal|2,1,4
Un jaguar es un animal|2,1,4
Un koala es un animal|2,1,4
Un lagarto es un animal|2,1,4
Una langosta es un animal|2,1,4
Un langostino es un animal|2,1,4
Una lechuza es un animal|2,1,4
Un lémur es un animal|2,1,4
Un león es un animal|2,1,4
Un leopardo es un animal|2,1,4
Una libélula es un animal|2,1,4
Un liebre es un animal|2,1,4
Un lince es un animal|2,1,4
Un lobo es un animal|2,1,4
Un lombriz es un animal|2,1,4
Un loro es un animal|2,1,4
Una luciérnaga es un animal|2,1,4
Un mamut es un animal|2,1,4
Un mandril es un animal|2,1,4
Un mapache es un animal|2,1,4
Un marabú es un animal|2,1,4
Una marabunta es un animal|2,1,4
Una mariposa es un animal|2,1,4
Una marmota es un animal|2,1,4
Una medusa es un animal|2,1,4
Un mejillón es un animal|2,1,4
Un milpiés es un animal|2,1,4
Una mofeta es un animal|2,1,4
Un mono es un animal|2,1,4
Una mosca es un animal|2,1,4
Un mosquito es un animal|2,1,4
Una morsa es un animal|2,1,4
Una navaja es un animal|2,1,4
Una nécora es un animal|2,1,4
Una nutria es un animal|2,1,4
Un ñu es un animal|2,1,4
Un ocelote es un animal|2,1,4
Un oso es un animal|2,1,4
